op_unique_carrier,mean_delayed
HA,0.06143977191732003
DL,0.07063857471724552
WN,0.07804434211014967
YX,0.0799972247276764
9E,0.08647353517752124
UA,0.0963368666569483
EV,0.1017733230531997
NK,0.10309813650262505
AA,0.11099480602077591
F9,0.11557829759584146
B6,0.11616100077169896
OO,0.1224155048128804
YV,0.13821324328964688
MQ,0.1408796076570163
AS,0.14117307414713948
G4,0.1535951977032494
OH,0.1648818700779199
